Date,Open,High,Low,Close,Adj Close,Volume
"Apr 1, 2025",73.31,74.21,72.19,74.02,74.02,"1,508,000"
"Mar 31, 2025",73.66,73.84,71.9,73.77,73.77,"2,205,700"
"Mar 28, 2025",76.27,76.56,74.27,74.84,74.84,"1,515,900"
"Mar 27, 2025",77.93,78,76.57,76.78,76.78,"1,722,700"
"Mar 26, 2025",78.45,78.45,77.13,77.78,77.78,"1,314,400"
"Mar 25, 2025",78.37,79.45,77.88,78.13,78.13,"1,586,600"
"Mar 24, 2025",76.91,78.3,76.82,78.2,78.2,"1,970,000"
"Mar 21, 2025",75.55,76.36,75.2,75.97,75.97,"6,268,800"
"Mar 20, 2025",75.61,76.91,75.6,76.03,76.03,"1,470,900"
"Mar 19, 2025",75.98,77.25,75.74,76.26,76.26,"1,690,000"
"Mar 18, 2025",74.08,75.75,74.04,75.45,75.45,"1,728,700"
"Mar 17, 2025",74.5,75.87,74.23,75.16,75.16,"1,773,800"
"Mar 14, 2025",72.81,74.91,72.79,74.2,74.2,"2,192,100"
"Mar 13, 2025",73.54,73.71,71.66,72.23,72.23,"2,033,500"
"Mar 12, 2025",74.28,74.67,72.79,73.95,73.95,"1,941,900"
"Mar 11, 2025",73.5,74.87,72.74,73.15,73.15,"2,773,000"
"Mar 10, 2025",75.71,75.85,73.04,73.47,73.47,"3,222,100"
"Mar 7, 2025",75,76.56,74.13,75.98,75.98,"3,303,900"
"Mar 6, 2025",75.31,77.35,74.64,75.48,75.48,"3,075,700"
"Mar 5, 2025",74.72,75.7,73.97,75.6,75.6,"2,614,900"
"Mar 4, 2025",73.96,75.84,72.89,74.93,74.93,"3,720,500"
"Mar 3, 2025",74.58,75.86,73.92,74.31,74.31,"3,286,500"
"Feb 28, 2025",72.88,73.73,72.28,73.7,73.7,"3,080,400"
"Feb 27, 2025",74.25,74.8,72.63,72.88,72.88,"2,738,400"
"Feb 26, 2025",74.2,75.42,73.51,74.15,74.15,"3,810,100"
"Feb 25, 2025",77.67,77.67,72.51,74.22,74.22,"11,067,500"
"Feb 24, 2025",82.13,83.35,79.92,81.1,81.1,"6,493,900"
"Feb 21, 2025",84.83,85.85,82.26,82.5,82.5,"4,125,300"
"Feb 20, 2025",84.55,85.04,82.75,83.45,83.45,"2,788,200"
"Feb 19, 2025",84.5,85.2,83.07,85.17,85.17,"2,428,100"
"Feb 18, 2025",85.3,85.4,83.41,85.2,85.2,"2,320,400"
"Feb 14, 2025",85.16,85.3,83.32,85.1,85.1,"1,436,300"
"Feb 13, 2025",83.29,85.46,83.27,85.16,85.16,"1,733,400"
"Feb 12, 2025",82.5,83.41,81.46,83.05,83.05,"2,364,300"
"Feb 11, 2025",86.33,86.93,83.29,83.82,83.82,"2,636,500"
"Feb 10, 2025",86.91,88.62,86.43,87.1,87.1,"2,347,800"
"Feb 7, 2025",87.26,88.16,85.71,86.12,86.12,"1,826,900"
"Feb 6, 2025",86.5,86.83,85.79,86.69,86.69,"1,549,400"
"Feb 5, 2025",86.47,87.58,85.49,85.99,85.99,"1,377,400"
"Feb 4, 2025",86.68,87.18,85.78,86.18,86.18,"1,450,800"
"Feb 3, 2025",85.5,86.4,84.25,86.12,86.12,"1,465,500"
"Jan 31, 2025",88.06,88.77,86.58,86.94,86.94,"2,861,500"
"Jan 30, 2025",86.96,87.95,86.15,87.29,87.29,"1,699,500"
"Jan 29, 2025",88.4,88.4,86.37,87.2,87.2,"2,200,600"
"Jan 28, 2025",82.45,88.9,82.36,88.64,88.64,"4,971,800"
"Jan 27, 2025",79.02,82.28,78.78,82,82,"2,259,100"
"Jan 24, 2025",80.75,82.31,79.99,80.17,80.17,"2,100,000"
"Jan 23, 2025",79.27,80.03,76.38,80.01,80.01,"3,526,400"
"Jan 22, 2025",79.04,79.36,78.07,79.28,79.28,"2,287,900"
"Jan 21, 2025",78.79,79.21,77.6,78.54,78.54,"2,470,800"
"Jan 17, 2025",80.04,80.21,78.01,78.07,78.07,"2,923,900"
"Jan 16, 2025",80.3,80.46,79.27,79.44,79.44,"1,803,100"
"Jan 15, 2025",80.12,80.82,79.36,80.26,80.26,"2,045,700"
"Jan 14, 2025",79.68,80.24,78.53,79.2,79.2,"1,537,500"
"Jan 13, 2025",78.53,79.72,78.53,78.82,78.82,"1,885,000"
"Jan 10, 2025",78.57,79.82,78.02,79.46,79.46,"2,750,300"
"Jan 8, 2025",80.12,80.66,78.86,79.9,79.9,"2,850,700"
"Jan 7, 2025",83.8,84.03,80.12,80.45,80.45,"2,150,000"
"Jan 6, 2025",83.17,84.19,82,82.34,82.34,"2,425,600"
"Jan 3, 2025",81.43,82.78,81.4,82.7,82.7,"1,639,700"
"Jan 2, 2025",82.51,82.79,80.88,81.58,81.58,"1,774,100"
"Dec 31, 2024",83,83,81.27,81.61,81.61,"1,952,400"
"Dec 30, 2024",82.78,83.22,81.6,82.73,82.73,"1,476,500"
"Dec 27, 2024",85.2,85.5,82.72,83.82,83.82,"2,140,300"
"Dec 26, 2024",85.16,86.14,84.85,85.44,85.44,"1,980,600"
"Dec 24, 2024",85,86,84.82,85.67,85.67,"902,900"
"Dec 23, 2024",85.25,85.74,84.41,85.27,85.27,"2,377,000"
"Dec 20, 2024",83.2,86.1,82.86,85.6,85.6,"5,090,800"
"Dec 19, 2024",84.63,85.33,83.65,84.05,84.05,"3,662,500"
"Dec 18, 2024",84.9,85.78,81.62,82.05,82.05,"2,796,700"
"Dec 17, 2024",83.16,84.7,82.55,84.6,84.6,"2,517,500"
"Dec 16, 2024",84.06,84.64,83.22,83.8,83.8,"2,646,600"
"Dec 13, 2024",86.81,87.3,83.38,83.79,83.79,"2,627,100"
"Dec 12, 2024",85.68,87.28,85.43,87.05,87.05,"2,103,600"
"Dec 11, 2024",84.15,86.8,83.93,86.59,86.59,"3,501,100"
"Dec 10, 2024",84.76,85.5,83.46,83.83,83.83,"3,744,000"
"Dec 9, 2024",85.88,87.72,85.5,85.58,85.58,"3,518,600"
"Dec 6, 2024",83.76,86.75,83.76,86.22,86.22,"3,359,200"
"Dec 5, 2024",83.99,85.12,83.31,83.36,83.36,"2,173,400"
"Dec 4, 2024",82.9,84.14,82.28,83.65,83.65,"3,143,700"
"Dec 3, 2024",82.64,82.99,81.76,82.63,82.63,"2,303,200"
"Dec 2, 2024",82.5,84.88,82.17,83.11,83.11,"2,943,900"
"Nov 29, 2024",84.8,85.65,82.34,82.69,82.69,"3,233,900"
"Nov 27, 2024",84.09,85.8,83.78,85.36,85.36,"5,212,300"
"Nov 26, 2024",84.02,85,81.22,83.41,83.41,"12,886,600"
"Nov 25, 2024",88.3,92.8,88.21,89.03,89.03,"17,383,600"
"Nov 22, 2024",81.4,86,81.4,85.88,85.88,"5,636,100"
"Nov 21, 2024",78.96,81.65,78.9,81.2,81.2,"3,962,000"
"Nov 20, 2024",77.88,79.24,77.88,78.86,78.86,"2,318,000"
"Nov 19, 2024",78.82,79.03,77.5,77.75,77.75,"4,138,400"
"Nov 18, 2024",81.21,81.21,78.88,78.93,78.93,"4,177,200"
"Nov 15, 2024",81.52,81.98,80.92,81.14,81.14,"2,234,600"
"Nov 14, 2024",84.87,84.89,82.4,82.63,82.63,"2,906,200"
"Nov 13, 2024",86.51,87.14,84.65,85.04,85.04,"2,729,000"
"Nov 12, 2024",84.73,87.1,84.07,86.32,86.32,"3,943,000"
"Nov 11, 2024",81.87,86.23,81.83,85.58,85.58,"5,447,400"
"Nov 8, 2024",80.52,81.57,80.21,81.46,81.46,"2,839,800"
"Nov 7, 2024",79.69,80.47,78.54,80.19,80.19,"2,288,300"
"Nov 6, 2024",78.2,80.35,78.16,79.69,79.69,"3,880,300"
"Nov 5, 2024",75.79,77.85,75.72,77.75,77.75,"2,568,400"
"Nov 4, 2024",75.53,75.97,74.52,75.54,75.54,"1,551,100"
"Nov 1, 2024",74.69,76.03,74.58,75.6,75.6,"1,973,300"
"Oct 31, 2024",74.67,75.51,74.63,74.74,74.74,"1,723,100"
"Oct 30, 2024",75.39,75.83,74.73,74.78,74.78,"2,008,600"
"Oct 29, 2024",73.85,75.96,73.65,75.5,75.5,"3,571,200"
"Oct 28, 2024",72.93,74.16,72.68,73.85,73.85,"2,129,800"
"Oct 25, 2024",72.78,73.75,72.61,72.63,72.63,"2,073,300"
"Oct 24, 2024",72.74,73.99,72.36,72.66,72.66,"2,926,700"
"Oct 23, 2024",72.01,73.18,71.76,72.54,72.54,"2,654,300"
"Oct 22, 2024",72,73.12,71.71,72.22,72.22,"2,710,100"
"Oct 21, 2024",70.27,72.36,70.2,72.17,72.17,"2,805,100"
"Oct 18, 2024",70.39,70.74,70.15,70.52,70.52,"1,444,800"
"Oct 17, 2024",69.42,70.32,68.72,70.2,70.2,"1,939,800"
"Oct 16, 2024",68.22,69.09,68.05,68.93,68.93,"1,954,100"
"Oct 15, 2024",67.74,68.73,67.66,68.42,68.42,"2,735,300"
"Oct 14, 2024",70.98,71.07,67.64,67.89,67.89,"3,658,200"
"Oct 11, 2024",70.71,71.45,70.5,70.68,70.68,"2,967,300"
"Oct 10, 2024",69.51,71.37,69.36,70.85,70.85,"4,969,600"
"Oct 9, 2024",68.12,70.34,68.12,69.97,69.97,"4,297,200"
"Oct 8, 2024",68.3,68.62,66.98,68.32,68.32,"2,497,000"
"Oct 7, 2024",69.09,69.3,67.82,68.16,68.16,"2,110,700"
"Oct 4, 2024",68,68.69,67.58,68.66,68.66,"1,875,300"
"Oct 3, 2024",67.27,67.58,66.87,67.21,67.21,"1,633,300"
"Oct 2, 2024",68.33,68.49,67.5,67.61,67.61,"1,786,600"
"Oct 1, 2024",69.61,69.92,68.21,68.64,68.64,"1,930,600"
"Sep 30, 2024",69.48,70.33,69.3,69.74,69.74,"2,024,600"
"Sep 27, 2024",69.01,69.59,68.72,69.55,69.55,"1,417,500"
"Sep 26, 2024",68.43,69.35,68.13,68.9,68.9,"2,018,900"
"Sep 25, 2024",68.96,69.36,67.79,67.95,67.95,"2,479,900"
"Sep 24, 2024",69.41,70.17,68.65,69.43,69.43,"2,294,700"
"Sep 23, 2024",67.66,68.96,67.51,68.79,68.79,"2,526,600"
"Sep 20, 2024",66.89,67.58,66.76,67.53,67.53,"4,368,500"
"Sep 19, 2024",67.06,67.65,66.72,66.91,66.91,"1,908,000"
"Sep 18, 2024",67.78,67.9,65.91,66.04,66.04,"2,571,700"
"Sep 17, 2024",68.12,68.55,67.7,68.11,68.11,"2,305,000"
"Sep 16, 2024",67.47,68.57,67.39,67.62,67.62,"4,054,700"
"Sep 13, 2024",66.51,67.99,66.44,67.59,67.59,"2,061,800"
"Sep 12, 2024",67.47,67.5,65.98,66.55,66.55,"2,184,400"
"Sep 11, 2024",66.61,67.58,66.26,67.3,67.3,"3,516,700"
"Sep 10, 2024",66.87,66.88,65.87,66.7,66.7,"3,476,000"
"Sep 9, 2024",66.96,67.56,66.44,66.59,66.59,"2,780,700"
"Sep 6, 2024",67.93,68.56,66.6,67.18,67.18,"2,797,500"
"Sep 5, 2024",68.09,68.81,67.07,67.23,67.23,"2,638,000"
"Sep 4, 2024",68.54,69.23,68,68.19,68.19,"2,896,500"
"Sep 3, 2024",69.08,70.41,68.61,68.83,68.83,"3,316,400"
"Aug 30, 2024",69.97,70.28,68.8,69.08,69.08,"5,144,500"
"Aug 29, 2024",70.81,71.15,69.9,69.94,69.94,"2,759,900"
"Aug 28, 2024",71.75,72.34,70.04,70.69,70.69,"4,479,000"
"Aug 27, 2024",71.5,72.33,70.92,71.9,71.9,"4,605,700"
"Aug 26, 2024",70.09,72.36,70,71.32,71.32,"6,547,300"
"Aug 23, 2024",68.15,70.86,68.02,70.14,70.14,"10,683,900"
"Aug 22, 2024",61.81,68.28,60.71,68.04,68.04,"22,168,500"
"Aug 21, 2024",59.62,60.26,59.35,60.23,60.23,"7,107,300"
"Aug 20, 2024",59.61,59.97,58.78,59.13,59.13,"2,224,200"
"Aug 19, 2024",58.5,59.87,58.49,59.82,59.82,"2,679,700"
"Aug 16, 2024",57.52,58.26,57.23,58.07,58.07,"1,735,000"
"Aug 15, 2024",57.73,58.14,57.51,57.85,57.85,"3,151,800"
"Aug 14, 2024",56.41,57.06,56.12,57,57,"1,615,900"
"Aug 13, 2024",55.49,56.67,55.28,56.65,56.65,"2,494,900"
"Aug 12, 2024",56.35,56.5,55.06,55.32,55.32,"2,357,200"
"Aug 9, 2024",56.17,56.53,55.55,56.38,56.38,"1,742,400"
"Aug 8, 2024",56.36,56.57,56,56.21,56.21,"2,311,500"
"Aug 7, 2024",56.49,57.43,55.62,55.72,55.72,"2,838,300"
"Aug 6, 2024",55.88,56.68,55.61,55.83,55.83,"3,303,500"
"Aug 5, 2024",56.63,56.87,55.6,55.63,55.63,"3,765,300"
"Aug 2, 2024",58.09,58.87,57.32,58.49,58.49,"2,365,100"
"Aug 1, 2024",60.44,60.79,58.84,58.97,58.97,"2,449,900"
"Jul 31, 2024",61.45,62.22,60.29,60.4,60.4,"3,187,500"
"Jul 30, 2024",60.21,61.26,59.92,61.05,61.05,"1,805,300"
"Jul 29, 2024",60.41,60.62,59.96,60.32,60.32,"1,636,500"
"Jul 26, 2024",59.92,60.65,59.59,60.09,60.09,"1,906,300"
"Jul 25, 2024",58.29,60.48,57.98,59.61,59.61,"3,238,900"
"Jul 24, 2024",59.23,59.65,58,58.16,58.16,"2,495,100"
"Jul 23, 2024",58.47,59.92,58.47,59.42,59.42,"2,466,300"
"Jul 22, 2024",59.13,59.25,58.13,58.64,58.64,"1,985,500"
"Jul 19, 2024",58.83,59.09,58.27,58.87,58.87,"1,857,400"
"Jul 18, 2024",59,59.74,58.79,59.15,59.15,"2,342,500"
"Jul 17, 2024",58.89,59.38,58.63,59.1,59.1,"2,352,300"
"Jul 16, 2024",58.25,59.19,58.12,59.16,59.16,"2,449,600"
"Jul 15, 2024",57.64,59.03,57.47,58.33,58.33,"3,053,100"
"Jul 12, 2024",56.61,57.73,56.48,57.58,57.58,"3,438,000"
"Jul 11, 2024",56.06,57.39,56.06,56.6,56.6,"3,515,300"
"Jul 10, 2024",56.7,57.05,55.78,56,56,"4,015,100"
"Jul 9, 2024",57.15,57.68,56.74,56.88,56.88,"3,946,200"
"Jul 8, 2024",58.19,58.32,57.23,57.4,57.4,"2,882,500"
"Jul 5, 2024",58.69,58.91,58.22,58.26,58.26,"1,958,100"
"Jul 3, 2024",58.27,58.78,58.17,58.63,58.63,"1,415,900"
"Jul 2, 2024",59.37,59.86,58.29,58.34,58.34,"1,922,400"
"Jul 1, 2024",59.1,59.41,58.83,59.21,59.21,"1,937,900"
"Jun 28, 2024",58.67,59.68,58.55,59.19,59.19,"3,749,400"
"Jun 27, 2024",57.41,58.51,56.95,58.47,58.47,"4,181,500"
"Jun 26, 2024",57.79,57.95,57.28,57.54,57.54,"2,541,000"
"Jun 25, 2024",57.71,58.3,57.37,57.79,57.79,"2,455,400"
"Jun 24, 2024",58.61,58.9,57.44,57.81,57.81,"3,511,100"
"Jun 21, 2024",58,59.2,57.76,58.88,58.88,"9,509,900"
"Jun 20, 2024",56.12,58.37,55.63,58.31,58.31,"4,351,000"
"Jun 18, 2024",57.13,57.31,56.09,56.21,56.21,"3,217,800"
"Jun 17, 2024",57.4,57.57,56.4,56.95,56.95,"4,355,900"
"Jun 14, 2024",57.93,58.16,57.33,57.74,57.74,"3,014,700"
"Jun 13, 2024",60.26,60.5,57.93,57.94,57.94,"4,662,600"
"Jun 12, 2024",63.49,63.5,60.35,60.52,60.52,"3,725,000"
"Jun 11, 2024",62.99,63.23,61.71,62.85,62.85,"1,963,900"
"Jun 10, 2024",62.43,63.32,62.42,62.96,62.96,"3,631,500"
"Jun 7, 2024",62.78,63.44,62.58,62.84,62.84,"2,514,300"
"Jun 6, 2024",62,63.78,61.9,63.11,63.11,"3,201,400"
"Jun 5, 2024",61.78,62.45,61.63,62.09,62.09,"2,566,400"
"Jun 4, 2024",61.6,62.1,61.32,61.53,61.53,"2,063,800"
"Jun 3, 2024",61.8,62.49,61.47,61.73,61.73,"2,873,300"
"May 31, 2024",60.65,61.42,60.2,61.34,61.34,"4,489,100"
"May 30, 2024",61.35,61.58,60.1,60.53,60.53,"3,402,300"
"May 29, 2024",61.42,61.89,61.21,61.36,61.36,"2,351,100"
"May 28, 2024",62.96,63.09,61.7,62.06,62.06,"2,994,000"
"May 24, 2024",62.17,63.45,62.17,63.01,63.01,"7,322,100"
"May 23, 2024",64.64,64.68,62.19,62.42,62.42,"3,007,500"
"May 22, 2024",64,65.2,63.55,64.38,64.38,"2,986,200"
"May 21, 2024",62.81,65.4,62.61,63.86,63.86,"8,015,200"
"May 20, 2024",64.12,64.5,63.57,64.09,64.09,"6,125,600"
"May 17, 2024",63.61,64.18,63.52,64.16,64.16,"3,152,100"
"May 16, 2024",63.55,64.14,63.09,63.96,63.96,"2,612,000"
"May 15, 2024",64.15,64.19,62.77,63.81,63.81,"2,387,200"
"May 14, 2024",63.75,64.17,63.09,63.53,63.53,"2,788,100"
"May 13, 2024",62.29,63.46,62.18,63.11,63.11,"2,894,100"
"May 10, 2024",61.28,62.08,61.2,61.97,61.97,"2,242,500"
"May 9, 2024",61.13,62.12,61.03,61.13,61.13,"2,525,300"
"May 8, 2024",61.65,63.04,61.02,61.23,61.23,"2,697,200"
"May 7, 2024",61.96,62.36,61.76,62.14,62.14,"2,261,600"
"May 6, 2024",61.82,62.24,61.53,61.82,61.82,"2,825,500"
"May 3, 2024",63.53,63.77,61.34,61.82,61.82,"3,041,900"
"May 2, 2024",62.3,63.18,61.8,62.83,62.83,"2,731,800"
"May 1, 2024",60.9,62.29,60.69,61.61,61.61,"2,445,800"
"Apr 30, 2024",62.71,62.95,60.89,61.1,61.1,"2,544,700"
"Apr 29, 2024",62.5,63.83,62.5,63.32,63.32,"3,034,900"
"Apr 26, 2024",61.44,62.06,61.26,62,62,"2,801,200"
"Apr 25, 2024",60.4,61.16,60.32,61.04,61.04,"2,518,200"
"Apr 24, 2024",61.91,62.17,60.98,61.65,61.65,"3,215,300"
"Apr 23, 2024",59.63,61.76,59.63,61.62,61.62,"3,891,000"
"Apr 22, 2024",59.94,60.07,58.88,59.54,59.54,"2,905,900"
"Apr 19, 2024",59.81,60.21,59.08,59.45,59.45,"2,492,500"
"Apr 18, 2024",60.25,60.75,59.61,59.94,59.94,"4,223,900"
"Apr 17, 2024",59.28,59.79,59.01,59.08,59.08,"2,034,200"
"Apr 16, 2024",60.2,60.28,59.26,59.28,59.28,"2,241,800"
"Apr 15, 2024",61.71,61.79,59.76,60.24,60.24,"3,361,200"
"Apr 12, 2024",62.07,62.5,61.57,61.63,61.63,"2,700,500"
"Apr 11, 2024",62.7,62.82,62.02,62.52,62.52,"2,009,200"
"Apr 10, 2024",62.4,62.9,61.55,62.22,62.22,"3,166,200"
"Apr 9, 2024",62.97,64.63,62.81,63.85,63.85,"3,284,100"
"Apr 8, 2024",62.22,63.66,61.7,63.01,63.01,"3,309,100"
"Apr 5, 2024",63.07,63.42,62.62,62.94,62.94,"2,291,400"
"Apr 4, 2024",63.51,64.33,63.03,63.28,63.28,"2,614,500"
"Apr 3, 2024",63.47,63.85,63.01,63.22,63.22,"2,831,600"
"Apr 2, 2024",63.51,64.1,63.23,63.78,63.78,"2,927,700"
"Apr 1, 2024",67.04,67.04,64.62,64.73,64.73,"2,955,100"
"Mar 28, 2024",66.86,66.86,65.33,65.37,65.37,"2,605,800"
"Mar 27, 2024",66.61,66.96,65.93,66.62,66.62,"1,882,900"
"Mar 26, 2024",67,67.39,66.18,66.35,66.35,"1,642,100"
"Mar 25, 2024",65.85,66.94,65.35,66.71,66.71,"2,227,000"
"Mar 22, 2024",66.35,66.41,65.58,65.96,65.96,"1,521,200"
"Mar 21, 2024",67.27,67.27,66.42,66.54,66.54,"1,702,400"
"Mar 20, 2024",66.66,67.26,65.97,66.86,66.86,"1,594,900"
"Mar 19, 2024",65.5,67,65.35,66.53,66.53,"2,341,900"
"Mar 18, 2024",66.31,67.22,66,66.23,66.23,"2,132,700"
"Mar 15, 2024",66.74,67.61,65.89,65.96,65.96,"5,674,700"
"Mar 14, 2024",68.56,68.88,66.87,67.26,67.26,"1,902,800"
"Mar 13, 2024",69.74,69.95,68.34,68.44,68.44,"2,402,900"
"Mar 12, 2024",70,70.57,69.3,69.88,69.88,"3,160,600"
"Mar 11, 2024",67.19,70.26,67.13,69.68,69.68,"4,434,000"
"Mar 8, 2024",67.66,68.29,67.15,67.16,67.16,"2,982,200"
"Mar 7, 2024",66.55,67.46,66.55,67.03,67.03,"2,483,500"
"Mar 6, 2024",67.19,67.78,66.31,66.42,66.42,"2,925,100"
"Mar 5, 2024",68.73,69.19,66.06,66.49,66.49,"4,874,600"
"Mar 4, 2024",70.91,70.92,69.49,69.71,69.71,"5,257,900"
"Mar 1, 2024",70.98,71.2,70.13,70.91,70.91,"4,271,900"
"Feb 29, 2024",70,71.3,69.07,70.73,70.73,"5,830,400"
"Feb 28, 2024",67.73,70.61,67.57,69.62,69.62,"8,100,900"
"Feb 27, 2024",67.15,69.48,65.06,68.17,68.17,"18,558,000"
"Feb 26, 2024",63.65,64.32,62.94,63.12,63.12,"13,348,800"
"Feb 23, 2024",62.5,63.47,62.3,63.4,63.4,"3,518,800"
"Feb 22, 2024",61.93,62.18,60.94,62.12,62.12,"3,383,300"
"Feb 21, 2024",60.42,61.42,60.14,61.35,61.35,"3,343,800"
"Feb 20, 2024",61.7,61.92,60.47,61.32,61.32,"3,742,800"
"Feb 16, 2024",63.38,63.76,62.08,62.12,62.12,"4,125,600"
"Feb 15, 2024",64.35,64.73,63.74,64.04,64.04,"1,917,700"
"Feb 14, 2024",64.34,64.48,63.51,64.14,64.14,"1,811,000"
"Feb 13, 2024",63,64.05,62.81,63.66,63.66,"3,230,000"
"Feb 12, 2024",65.72,66.15,64.45,64.48,64.48,"3,077,300"
"Feb 9, 2024",64.21,66.5,64.01,65.7,65.7,"4,302,100"
"Feb 8, 2024",63.69,64.07,63.07,63.9,63.9,"3,304,500"
"Feb 7, 2024",64.18,64.25,63.06,63.88,63.88,"2,738,600"
"Feb 6, 2024",63.53,64.14,63.21,63.6,63.6,"3,031,200"
"Feb 5, 2024",63.93,64.02,63.35,63.69,63.69,"2,597,100"
"Feb 2, 2024",64.28,64.79,63.36,64.27,64.27,"4,005,800"
"Feb 1, 2024",64.78,65.65,64.13,64.85,64.85,"4,066,500"
"Jan 31, 2024",66.25,66.38,64.57,64.61,64.61,"4,178,200"
"Jan 30, 2024",68.33,68.8,67.14,67.18,67.18,"2,418,900"
"Jan 29, 2024",67.59,69.1,67.59,68.93,68.93,"2,655,700"
"Jan 26, 2024",67.33,68.75,67.22,67.74,67.74,"2,112,100"
"Jan 25, 2024",69.5,69.5,67.18,67.42,67.42,"2,670,000"
"Jan 24, 2024",70.42,70.6,68.92,69.04,69.04,"1,944,300"
"Jan 23, 2024",69.59,69.9,69.11,69.63,69.63,"2,373,100"
"Jan 22, 2024",69.53,70.66,69.04,69.59,69.59,"2,493,800"
"Jan 19, 2024",67.66,69.04,67.11,69.04,69.04,"2,098,700"
"Jan 18, 2024",67.52,67.98,66.45,67.32,67.32,"2,611,200"
"Jan 17, 2024",68.14,68.17,66.4,67.95,67.95,"2,357,300"
"Jan 16, 2024",69.9,70.41,68.16,69.1,69.1,"3,503,200"
"Jan 12, 2024",68.69,71.5,68.69,70.46,70.46,"4,035,600"
"Jan 11, 2024",68.34,68.68,66.97,68.5,68.5,"3,334,700"
"Jan 10, 2024",68.25,68.3,67.58,68.18,68.18,"2,078,300"
"Jan 9, 2024",67.46,68.93,67.21,68.31,68.31,"2,178,200"
"Jan 8, 2024",67.2,68.96,66.78,68.39,68.39,"2,341,300"
"Jan 5, 2024",66.53,68.03,66.47,66.96,66.96,"1,958,800"
"Jan 4, 2024",67,67.54,66.4,66.9,66.9,"1,962,100"
"Jan 3, 2024",68.31,68.49,67.11,67.17,67.17,"2,493,500"
"Jan 2, 2024",71.1,71.45,69,69.15,69.15,"2,869,400"
"Dec 29, 2023",72.98,73.6,71.81,71.91,71.91,"2,425,900"
"Dec 28, 2023",73.77,74,72.92,73.09,73.09,"2,330,200"
"Dec 27, 2023",74.3,74.77,73.16,73.73,73.73,"2,392,300"
"Dec 26, 2023",72.61,74.35,72.37,74.21,74.21,"2,939,900"
"Dec 22, 2023",72.12,72.84,71.67,72.5,72.5,"2,383,600"
"Dec 21, 2023",70.58,72.04,70.26,71.9,71.9,"3,798,700"
"Dec 20, 2023",71.33,71.78,69.85,69.86,69.86,"3,512,700"
"Dec 19, 2023",71.57,72.79,71.4,72.42,72.42,"3,014,000"
"Dec 18, 2023",70.86,72.64,70.82,71.36,71.36,"2,967,400"
"Dec 15, 2023",72.25,72.46,70.96,71.57,71.57,"19,845,000"
